,russian_title,itm_title,ganers,rating,year
151,Ванпанчмен,Wanpanman,"['Экшен', 'Комедия', 'Пародия', 'Супер сила', 'Сейнен', 'Взрослые сейю']",8.5,2015
152,Невероятное приключение ДжоДжо: Несокрушимый алмаз,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai / JJBA 2016,"['Экшен', 'Приключения', 'Сверхъестественное', 'Сёнен']",8.5,2016
153,Судьба/Ночь схватки: Прикосновение небес 2,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly / FSN HF,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.5,2019
154,"Клинок, рассекающий демонов",Kimetsu no Yaiba,"['Экшен', 'Исторический', 'Сёнен', 'Фэнтези', 'Удостоено наград']",8.5,2019
155,Космические братья,Uchuu Kyoudai,"['Взрослые сейю', 'Комедия', 'Фантастика', 'Космос', 'Сейнен', 'Работа']",8.5,2012
156,Класс убийц 2 сезон,Ansatsu Kyoushitsu 2nd Season / ass class 2,"['Экшен', 'Комедия', 'Школа', 'Сёнен']",8.5,2016
157,Моб Психо 100,Mob Psycho 100,"['Экшен', 'Комедия', 'Сверхъестественное', 'Супер сила']",8.5,2016
158,Ария: Происхождение,Aria4,"['Фэнтези', 'Фантастика', 'Повседневность', 'Сёнен', 'Ияшикей']",8.5,2008
159,Радуга: Семеро из шестой камеры второго блока,"Rainbow: The Seven from Compound Two, Cell Six / Rainbow","['Драма', 'Исторический', 'Триллер', 'Сейнен', 'Правонарушители']",8.5,2010
160,Банановая рыба,BANANA FISH,"['Экшен', 'Приключения', 'Драма', 'Организованная преступность', 'Триллер', 'Психологическое', 'Сёдзе', 'Правонарушители']",8.5,2018
161,Путь Наруто,ROAD OF NARUTO,"['Экшен', 'Фэнтези', 'Боевые искусства', 'Сёнен']",8.5,2022
162,Девочка-волшебница Мадока★Волшебный фильм 3: История восстания,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari / madoka movie,"['Драма', 'Психологическое', 'Триллер', 'Детектив', 'Махо-сёдзё', 'Удостоено наград']",8.5,2013
163,Яркая Тихая 3 сезон,Chihayafuru 3,"['Драма', 'Игры', 'Дзёсей', 'Школа', 'Спорт', 'Любовный многоугольник']",8.5,2019
